price,size,bedrooms,bathrooms,parking spaces,location,address,href
2850000,90,2,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108218543
2850000,77,2,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107522889
2850000,87,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107669642
2850000,59,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/106716954
2849000,110,2,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108580116
2800000,71,2,2,1,Sea Point,"Sall-ray Mansions, 17 Milner Road",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108487093
2800000,119,2,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108562279
2800000,52,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107688671
2795000,63,1,1,1,Green Point,"The Chelsea, 3 Vesperdene Road",https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107822213
2795000,59,2,1,,Sea Point,10 Oliver Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107732944
2795000,72,1,1,,Sea Point,17 Antwerp Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107827856
2795000,74,2,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107941604
2750000,65,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108639961
2750000,85,2,1,2,Sea Point,24 Old Field Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108361360
2750000,90,2,2,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108490436
2750000,64,1,1,,Sea Point,75 Regent Road Sea Point,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108430431
2800000,52,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108628309
2745000,69,2,1,1,Green Point,8 Vesperdene Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108065053
2700000,91,3,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108411149
2700000,63,1,1.5,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107049133
2695000,57,0.5,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108552896
2695000,71,1,2,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108390315
2695000,,1,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108562393
2695000,,,,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108311429?plId=513031&plt=4
2675000,78,2,1,2,Green Point,25 Antrim Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108406519
2650000,70,2,1,,Sea Point,2 Firmount Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108116187
